,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
4,15.756783318519592,0.6308229283173623,0.002823948860168457,0.00021068803779967076,0.1,squared_error,75,1,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 75, 'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'best'}",-18.548653546942724,-19.514962569908924,-18.77555165450162,-18.980272865858,-19.071317153828726,-18.423404437478823,-19.03896205530101,-18.538563818053014,-18.660648760113002,-19.293267630642436,-18.88456044926283,0.3375734776425584,30
122,27.295767402648927,0.5603260721655544,0.0030327320098876955,0.00026185532839663976,0.1,squared_error,131,1,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 131, 'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'best'}",-18.548895257295225,-19.502600590612374,-18.793065745519797,-18.980272865858,-19.090507296601345,-18.423404437478823,-19.03284516098754,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.88458928958926,0.33749753423390594,31
80,60.71207151412964,1.4839250193062201,0.0029498577117919923,0.0001753366346508607,0.1,squared_error,112,1,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 112, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-18.548653546942724,-19.502600590612374,-18.774536005933452,-18.980272865858,-19.088083779250265,-18.44084372149215,-19.03896205530101,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.884825410692947,0.33586014873629266,32
160,61.82262511253357,0.8624122969635006,0.0028163671493530275,0.00032519273465741685,0.1,squared_error,150,1,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 150, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-18.548895257295225,-19.502600590612374,-18.793065745519797,-18.980272865858,-19.076161382397895,-18.44084372149215,-19.03284516098754,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.884898626570248,0.33429944686866275,33
42,26.378853583335875,0.42754501711568965,0.0027575016021728514,0.00017676546400862743,0.1,squared_error,93,1,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 93, 'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'best'}",-18.548653546942724,-19.514962569908924,-18.793065745519797,-18.96842229197347,-19.088083779250265,-18.423404437478823,-19.03896205530101,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.884985596791452,0.3396131158222828,34
44,18.167217254638672,0.3750037615254835,0.0027970075607299805,0.00018685587469487118,0.1,squared_error,93,1,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 93, 'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'best'}",-18.548895257295225,-19.514962569908924,-18.793065745519797,-18.96842229197347,-19.088083779250265,-18.423404437478823,-19.03896205530101,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.885009767826702,0.33958918520619075,35
162,27.292445826530457,0.9596450888112696,0.0031592845916748047,0.00033185583000459764,0.1,squared_error,150,1,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 150, 'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'best'}",-18.53720778012841,-19.502600590612374,-18.793065745519797,-18.980272865858,-19.083242577148937,-18.44084372149215,-19.03896205530101,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.885049687760016,0.33617820841005586,36
164,19.039412713050844,0.41311149125703045,0.003220367431640625,0.0016698771064862308,0.1,squared_error,150,1,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 150, 'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'best'}",-18.53720778012841,-19.502600590612374,-18.793065745519797,-18.96842229197347,-19.095346656894087,-18.44084372149215,-19.03896205530101,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.88507503834608,0.33659854470575595,37
0,41.046035742759706,2.8547987293309904,0.0027692317962646484,0.00015937560677878535,0.1,squared_error,75,1,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 75, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-18.548653546942724,-19.514962569908924,-18.794080392724634,-18.980272865858,-19.071317153828726,-18.423404437478823,-19.03896205530101,-18.538563818053014,-18.660648760113002,-19.293267630642436,-18.88641332308513,0.337020462280669,38
120,62.10238008499145,1.4151378110332944,0.0027372360229492186,0.0001652959224274679,0.1,squared_error,131,1,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 131, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-18.548895257295225,-19.514962569908924,-18.793065745519797,-18.980272865858,-19.095346656894087,-18.423404437478823,-19.03896205530101,-18.520385150784055,-18.660648760113002,-19.293267630642436,-18.886921112979536,0.3403368296461589,39
2,21.776295399665834,1.2603765166658067,0.002689218521118164,0.0002799696129165325,0.1,squared_error,75,1,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 75, 'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'best'}",-18.548653546942724,-19.502600590612374,-18.794080392724634,-18.980272865858,-19.095346656894087,-18.44084372149215,-19.03896205530101,-18.538563818053014,-18.660648760113002,-19.293267630642436,-18.889324003863344,0.3337625721046273,40
43,14.841738319396972,0.56194787768722,0.002707028388977051,0.00018496560232885415,0.1,squared_error,93,1,4,random,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 93, 'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'random'}",-18.71629777446802,-19.491147969643375,-19.097281314537906,-19.076327126043346,-19.176653536648995,-18.67960485956761,-18.888554526305914,-18.86662147776766,-18.739686588090095,-18.968796913840013,-18.970097208691293,0.2368263377949127,41
123,22.21883134841919,0.5482750716247766,0.0027396678924560547,0.00017233992617107883,0.1,squared_error,131,1,4,random,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 131, 'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'random'}",-18.790954644117146,-19.501068596483872,-19.061422497902008,-19.065106280237888,-19.12821086202707,-18.57097622556944,-19.037751452603036,-18.87854741604888,-18.80192893555303,-18.87166105908039,-18.97076279696228,0.23803601966439608,42
